MEAS frames_wo_det=558 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.013376 y=0.255658 z=0.286139 yaw=-1.246810 h=0.000057 r1=0.228439 r2=0.228315 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.013320 y=0.255629 z=0.286165 yaw=-1.246666 h=0.000025 r1=0.216520 r2=0.216551 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.013265 y=0.255665 z=0.286148 yaw=-1.246897 h=0.000015 r1=0.211682 r2=0.211693 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.013221 y=0.255649 z=0.286116 yaw=-1.247082 h=0.000010 r1=0.211685 r2=0.211698 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.013326 y=0.255845 z=0.286061 yaw=-1.247195 h=0.000013 r1=0.209041 r2=0.209016 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.013332 y=0.255940 z=0.286033 yaw=-1.247372 h=0.000017 r1=0.209041 r2=0.209011 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=0.013326 y=0.256043 z=0.285990 yaw=-1.247595 h=0.000011 r1=0.209044 r2=0.209012 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=0.013355 y=0.256120 z=0.285946 yaw=-1.247917 h=0.000013 r1=0.209038 r2=0.209017 | class_id=-1 pf_state=0
PF frames_wo_det=4 has_meas=0 | x=0.013380 y=0.256235 z=0.285893 yaw=-1.248159 h=0.000012 r1=0.209041 r2=0.209016 | class_id=-1 pf_state=0
PF frames_wo_det=5 has_meas=0 | x=0.013436 y=0.256332 z=0.285864 yaw=-1.248333 h=0.000012 r1=0.209045 r2=0.209013 | class_id=-1 pf_state=0
MEAS frames_wo_det=5 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.013215 y=0.256863 z=0.285672 yaw=-1.247142 h=0.000029 r1=0.207283 r2=0.207379 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.013137 y=0.257047 z=0.285685 yaw=-1.247324 h=0.000032 r1=0.207281 r2=0.207382 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.012208 y=0.257485 z=0.286017 yaw=-1.248427 h=0.000040 r1=0.206107 r2=0.206160 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.012558 y=0.257087 z=0.286813 yaw=-1.248616 h=0.000075 r1=0.205320 r2=0.205271 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.012492 y=0.257294 z=0.287220 yaw=-1.248713 h=0.000079 r1=0.205318 r2=0.205275 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=0.012477 y=0.257505 z=0.287554 yaw=-1.248603 h=0.000077 r1=0.205320 r2=0.205270 | class_id=-1 pf_state=0
PF frames_wo_det=3 has_meas=0 | x=0.012473 y=0.257679 z=0.287922 yaw=-1.249223 h=0.000077 r1=0.205320 r2=0.205274 | class_id=-1 pf_state=0
MEAS frames_wo_det=3 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.012306 y=0.254453 z=0.290553 yaw=-1.252117 h=-0.000048 r1=0.204820 r2=0.204608 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.012305 y=0.253827 z=0.291370 yaw=-1.253419 h=-0.000039 r1=0.204824 r2=0.204602 | class_id=-1 pf_state=0
PF frames_wo_det=2 has_meas=0 | x=0.012377 y=0.253188 z=0.292227 yaw=-1.254566 h=-0.000044 r1=0.204819 r2=0.204615 | class_id=-1 pf_state=0
MEAS frames_wo_det=2 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.009484 y=0.253495 z=0.289526 yaw=-1.255193 h=-0.000009 r1=0.204594 r2=0.203881 | class_id=-1 pf_state=0
MEAS frames_wo_det=0 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
PF frames_wo_det=0 has_meas=1 | x=0.009498 y=0.255132 z=0.287919 yaw=-1.254032 h=0.000140 r1=0.204372 r2=0.203244 | class_id=-1 pf_state=0
PF frames_wo_det=1 has_meas=0 | x=0.008759 y=0.255577 z=0.287227 yaw=-1.255475 h=0.000142 r1=0.204373 r2=0.203248 | class_id=-1 pf_state=0
MEAS frames_wo_det=1 has_meas=1 | x=0.013367 y=0.255693 z=0.286136 yaw=-1.246831 h=0.000000 r1=0.200000 r2=0.200000 | class_id=9 pf_state=0
